config,organ,dice,delta
remove_dec2_H4,right_adrenal_gland,0.6606172432256939,-0.0036511274492806445
remove_dec2_H4,left_adrenal_gland,0.6432740173291015,0.0017616013405363784
remove_dec2_H4,duodenum,0.6259427575893125,-0.016699722232504932
remove_dec2_H4,esophagus,0.7597393062927662,-0.0061562945318645035
remove_dec2_H4,bladder,0.822666459488138,-0.0026492360201026965
remove_dec1_H1,liver,0.925485100210634,-0.002532443035780485
remove_dec1_H1,spleen,0.9193354504854575,-0.007273588509345563
remove_dec1_H1,right_kidney,0.9145614752789083,-0.00447624244355127
remove_dec1_H1,left_kidney,0.9199874241116852,-0.004702412214964924
remove_dec1_H1,stomach,0.8126178702600801,-0.009480578932621997
remove_dec1_H1,pancreas,0.6335388382024494,-0.06711869403845017
remove_dec1_H1,gall_bladder,0.6605745140235106,-0.004220013837548997
remove_dec1_H1,right_adrenal_gland,0.6596376415289715,-0.004630729146003043
remove_dec1_H1,left_adrenal_gland,0.6283727082859413,-0.013139707702623848
remove_dec1_H1,duodenum,0.6351584623520766,-0.007484017469740811
remove_dec1_H1,esophagus,0.7532292645884882,-0.01266633623614255
remove_dec1_H1,bladder,0.8248306009988717,-0.00048509450936895515
remove_dec1_H2,liver,0.809470393002099,-0.1185471502443155
remove_dec1_H2,spleen,0.8586242400302827,-0.06798479896452037
remove_dec1_H2,right_kidney,0.8915395543848588,-0.0274981633376008
remove_dec1_H2,left_kidney,0.8870100161702338,-0.037679820156416355
remove_dec1_H2,stomach,0.8079097382297992,-0.014188710962902973
remove_dec1_H2,pancreas,0.14818846529577379,-0.5524690669451258
remove_dec1_H2,gall_bladder,0.6328210147569007,-0.03197351310415897
remove_dec1_H2,right_adrenal_gland,0.4924628680980602,-0.17180550257691435
remove_dec1_H2,left_adrenal_gland,0.3962856890035489,-0.24522672698501624
remove_dec1_H2,duodenum,0.4230176997268376,-0.21962478009497982
remove_dec1_H2,esophagus,0.679357757524506,-0.0865378433001247
remove_dec1_H2,bladder,0.8183074843322196,-0.0070082111760211285
remove_dec1_H3,liver,0.9267905996598419,-0.0012269435865726042
remove_dec1_H3,spleen,0.926838438401575,0.00022939940677191295
remove_dec1_H3,right_kidney,0.9179081664957857,-0.0011295512266739083
remove_dec1_H3,left_kidney,0.9207865323709405,-0.0039033039557095917
remove_dec1_H3,stomach,0.8199284970005319,-0.002169952192170199
remove_dec1_H3,pancreas,0.7018014036050791,0.001143871364179594
